"Notes","Leading Cancer Sites","Leading Cancer Sites Code","State","State Code","Year","Year Code","Sex","Sex Code","Ethnicity","Ethnicity Code",Deaths,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Age-Adjusted Rate Standard Error,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Colon and Rectum","21041-21052","Alabama","01","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alabama","01","2020","2020","Male","M","Non-Hispanic","2186-5",358,530513,77.5,69.4,86.3,4.3,67.5,60.7,74.8,3.6
,"Colon and Rectum","21041-21052","Alabama","01","2021","2021","Female","F","Hispanic","2135-2",0,10523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Alabama","01","2021","2021","Female","F","Non-Hispanic","2186-5",316,656834,51.7,46.1,57.7,2.9,48.1,43.0,53.7,2.7
,"Colon and Rectum","21041-21052","Alabama","01","2021","2021","Male","M","Non-Hispanic","2186-5",371,538044,76.4,68.5,84.9,4.1,69.0,62.1,76.3,3.6
,"Colon and Rectum","21041-21052","Alabama","01","2022","2022","Female","F","Hispanic","2135-2",0,11298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Alabama","01","2022","2022","Female","F","Non-Hispanic","2186-5",339,668782,53.3,47.7,59.3,2.9,50.7,45.4,56.4,2.8
,"Colon and Rectum","21041-21052","Alabama","01","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alabama","01","2022","2022","Male","M","Non-Hispanic","2186-5",411,548036,83.3,75.2,92.1,4.3,75.0,67.9,82.6,3.7
,"Colon and Rectum","21041-21052","Alabama","01","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alabama","01","2023","2023","Female","F","Non-Hispanic","2186-5",343,682115,52.8,47.3,58.7,2.9,50.3,45.1,55.9,2.7
,"Colon and Rectum","21041-21052","Alabama","01","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alabama","01","2023","2023","Male","M","Non-Hispanic","2186-5",414,559919,80.8,72.9,89.2,4.1,73.9,67.0,81.4,3.6
,"Colon and Rectum","21041-21052","Alabama","01","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alaska","02","2018","2018","Female","F","Hispanic","2135-2",0,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Alaska","02","2018","2018","Female","F","Non-Hispanic","2186-5",26,64141,52.4,33.6,77.6,10.7,40.5,26.5,59.4,7.9
,"Colon and Rectum","21041-21052","Alaska","02","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alaska","02","2018","2018","Male","M","Hispanic","2135-2",0,1821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Alaska","02","2018","2018","Male","M","Non-Hispanic","2186-5",39,64590,81.6,55.8,114.8,14.4,60.4,42.9,82.5,9.7
,"Colon and Rectum","21041-21052","Alaska","02","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alaska","02","2019","2019","Female","F","Hispanic","2135-2",0,2095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Alaska","02","2019","2019","Female","F","Non-Hispanic","2186-5",40,66230,75.1,53.0,103.2,12.3,60.4,43.1,82.2,9.5
,"Colon and Rectum","21041-21052","Alaska","02","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alaska","02","2019","2019","Male","M","Non-Hispanic","2186-5",33,66500,61.0,40.4,88.3,11.6,49.6,34.2,69.7,8.6
,"Colon and Rectum","21041-21052","Alaska","02","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alaska","02","2020","2020","Female","F","Hispanic","2135-2",0,2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Alaska","02","2020","2020","Female","F","Non-Hispanic","2186-5",32,66566,64.9,43.8,92.1,11.8,48.1,32.9,67.9,8.5
,"Colon and Rectum","21041-21052","Alaska","02","2020","2020","Male","M","Non-Hispanic","2186-5",44,68486,84.3,59.1,116.4,14.0,64.2,46.7,86.2,9.7
,"Colon and Rectum","21041-21052","Alaska","02","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alaska","02","2021","2021","Female","F","Non-Hispanic","2186-5",31,68574,55.3,36.9,79.4,10.4,45.2,30.7,64.2,8.1
,"Colon and Rectum","21041-21052","Alaska","02","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alaska","02","2021","2021","Male","M","Hispanic","2135-2",0,2060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Alaska","02","2021","2021","Male","M","Non-Hispanic","2186-5",31,70549,59.0,37.9,87.0,11.9,43.9,29.9,62.4,7.9
,"Colon and Rectum","21041-21052","Alaska","02","2022","2022","Female","F","Hispanic","2135-2",0,2324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Alaska","02","2022","2022","Female","F","Non-Hispanic","2186-5",37,70179,65.5,45.5,91.0,11.1,52.7,37.1,72.7,8.7
,"Colon and Rectum","21041-21052","Alaska","02","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alaska","02","2022","2022","Male","M","Non-Hispanic","2186-5",39,71734,63.0,42.9,89.2,11.2,54.4,38.7,74.3,8.7
,"Colon and Rectum","21041-21052","Alaska","02","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alaska","02","2023","2023","Female","F","Non-Hispanic","2186-5",24,71590,46.0,29.1,68.5,9.6,33.5,21.5,49.9,6.8
,"Colon and Rectum","21041-21052","Alaska","02","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Alaska","02","2023","2023","Male","M","Non-Hispanic","2186-5",61,73054,106.4,78.8,140.1,15.1,83.5,63.9,107.3,10.7
,"Colon and Rectum","21041-21052","Alaska","02","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arizona","04","2018","2018","Female","F","Hispanic","2135-2",49,129482,43.2,31.7,57.4,6.3,37.8,28.0,50.0,5.4
,"Colon and Rectum","21041-21052","Arizona","04","2018","2018","Female","F","Non-Hispanic","2186-5",334,774087,43.7,39.2,48.7,2.4,43.1,38.6,48.0,2.4
,"Colon and Rectum","21041-21052","Arizona","04","2018","2018","Male","M","Hispanic","2135-2",87,107163,103.7,82.2,129.0,11.6,81.2,65.0,100.1,8.7
,"Colon and Rectum","21041-21052","Arizona","04","2018","2018","Male","M","Non-Hispanic","2186-5",417,671391,65.1,59.0,71.7,3.2,62.1,56.3,68.4,3.0
,"Colon and Rectum","21041-21052","Arizona","04","2019","2019","Female","F","Hispanic","2135-2",57,137210,47.0,35.4,61.2,6.4,41.5,31.5,53.8,5.5
,"Colon and Rectum","21041-21052","Arizona","04","2019","2019","Female","F","Non-Hispanic","2186-5",326,802487,41.3,36.9,46.1,2.3,40.6,36.3,45.3,2.2
,"Colon and Rectum","21041-21052","Arizona","04","2019","2019","Male","M","Hispanic","2135-2",61,113826,57.6,43.3,75.2,7.8,53.6,41.0,68.8,6.9
,"Colon and Rectum","21041-21052","Arizona","04","2019","2019","Male","M","Non-Hispanic","2186-5",413,695829,61.7,55.9,68.0,3.0,59.4,53.8,65.4,2.9
,"Colon and Rectum","21041-21052","Arizona","04","2020","2020","Female","F","Hispanic","2135-2",55,132704,46.3,34.5,60.8,6.5,41.4,31.2,53.9,5.6
,"Colon and Rectum","21041-21052","Arizona","04","2020","2020","Female","F","Non-Hispanic","2186-5",402,798570,51.6,46.7,57.0,2.6,50.3,45.5,55.5,2.5
,"Colon and Rectum","21041-21052","Arizona","04","2020","2020","Male","M","Hispanic","2135-2",67,113046,72.2,54.8,93.3,9.5,59.3,45.9,75.3,7.2
,"Colon and Rectum","21041-21052","Arizona","04","2020","2020","Male","M","Non-Hispanic","2186-5",385,704900,57.9,52.2,64.0,3.0,54.6,49.3,60.4,2.8
,"Colon and Rectum","21041-21052","Arizona","04","2021","2021","Female","F","Hispanic","2135-2",54,139020,45.7,34.0,60.1,6.4,38.8,29.2,50.7,5.3
,"Colon and Rectum","21041-21052","Arizona","04","2021","2021","Female","F","Non-Hispanic","2186-5",368,819062,46.7,42.0,51.7,2.4,44.9,40.5,49.8,2.3
,"Colon and Rectum","21041-21052","Arizona","04","2021","2021","Male","M","Hispanic","2135-2",65,118104,65.7,49.5,85.3,8.8,55.0,42.5,70.1,6.8
,"Colon and Rectum","21041-21052","Arizona","04","2021","2021","Male","M","Non-Hispanic","2186-5",407,722746,59.1,53.5,65.2,3.0,56.3,51.0,62.1,2.8
,"Colon and Rectum","21041-21052","Arizona","04","2022","2022","Female","F","Hispanic","2135-2",47,145858,38.9,28.2,52.1,5.9,32.2,23.7,42.8,4.7
,"Colon and Rectum","21041-21052","Arizona","04","2022","2022","Female","F","Non-Hispanic","2186-5",371,835772,45.4,40.9,50.3,2.4,44.4,40.0,49.1,2.3
,"Colon and Rectum","21041-21052","Arizona","04","2022","2022","Male","M","Hispanic","2135-2",75,123891,77.2,59.4,98.3,9.6,60.5,47.6,75.9,7.0
,"Colon and Rectum","21041-21052","Arizona","04","2022","2022","Male","M","Non-Hispanic","2186-5",444,736811,63.0,57.3,69.2,3.0,60.3,54.8,66.1,2.9
,"Colon and Rectum","21041-21052","Arizona","04","2023","2023","Female","F","Hispanic","2135-2",51,153192,41.6,30.7,55.0,6.0,33.3,24.8,43.8,4.7
,"Colon and Rectum","21041-21052","Arizona","04","2023","2023","Female","F","Non-Hispanic","2186-5",394,852582,46.7,42.2,51.5,2.4,46.2,41.8,51.0,2.3
,"Colon and Rectum","21041-21052","Arizona","04","2023","2023","Male","M","Hispanic","2135-2",88,130317,82.9,65.1,103.9,9.6,67.5,54.2,83.2,7.2
,"Colon and Rectum","21041-21052","Arizona","04","2023","2023","Male","M","Non-Hispanic","2186-5",462,751227,63.1,57.4,69.1,2.9,61.5,56.0,67.4,2.9
,"Colon and Rectum","21041-21052","Arkansas","05","2018","2018","Female","F","Hispanic","2135-2",0,7212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Arkansas","05","2018","2018","Female","F","Non-Hispanic","2186-5",186,373580,50.9,43.8,58.8,3.8,49.8,42.9,57.5,3.7
,"Colon and Rectum","21041-21052","Arkansas","05","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arkansas","05","2018","2018","Male","M","Non-Hispanic","2186-5",223,308434,78.3,68.2,89.5,5.3,72.3,63.1,82.4,4.8
,"Colon and Rectum","21041-21052","Arkansas","05","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arkansas","05","2019","2019","Female","F","Hispanic","2135-2",0,7817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Arkansas","05","2019","2019","Female","F","Non-Hispanic","2186-5",237,380975,62.6,54.8,71.1,4.1,62.2,54.5,70.7,4.0
,"Colon and Rectum","21041-21052","Arkansas","05","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arkansas","05","2019","2019","Male","M","Non-Hispanic","2186-5",242,315017,84.2,73.7,95.7,5.5,76.8,67.4,87.1,4.9
,"Colon and Rectum","21041-21052","Arkansas","05","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arkansas","05","2020","2020","Female","F","Non-Hispanic","2186-5",194,372967,53.3,46.1,61.4,3.8,52.0,45.0,59.9,3.7
,"Colon and Rectum","21041-21052","Arkansas","05","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arkansas","05","2020","2020","Male","M","Non-Hispanic","2186-5",235,314981,82.2,71.7,93.7,5.5,74.6,65.4,84.8,4.9
,"Colon and Rectum","21041-21052","Arkansas","05","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arkansas","05","2021","2021","Female","F","Non-Hispanic","2186-5",217,378119,59.8,52.1,68.4,4.1,57.4,50.0,65.6,3.9
,"Colon and Rectum","21041-21052","Arkansas","05","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arkansas","05","2021","2021","Male","M","Non-Hispanic","2186-5",244,319466,83.0,72.7,94.4,5.4,76.4,67.1,86.6,4.9
,"Colon and Rectum","21041-21052","Arkansas","05","2021","2021","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arkansas","05","2022","2022","Female","F","Non-Hispanic","2186-5",229,384151,62.0,54.2,70.6,4.1,59.6,52.1,67.9,3.9
,"Colon and Rectum","21041-21052","Arkansas","05","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arkansas","05","2022","2022","Male","M","Non-Hispanic","2186-5",253,324384,84.8,74.4,96.2,5.5,78.0,68.7,88.2,4.9
,"Colon and Rectum","21041-21052","Arkansas","05","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arkansas","05","2023","2023","Female","F","Non-Hispanic","2186-5",195,391204,51.3,44.4,59.1,3.7,49.8,43.1,57.4,3.6
,"Colon and Rectum","21041-21052","Arkansas","05","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Arkansas","05","2023","2023","Male","M","Non-Hispanic","2186-5",274,330153,89.4,78.9,100.9,5.5,83.0,73.5,93.4,5.0
,"Colon and Rectum","21041-21052","Arkansas","05","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","California","06","2018","2018","Female","F","Hispanic","2135-2",337,942708,39.1,35.0,43.6,2.2,35.7,32.0,39.8,1.9
,"Colon and Rectum","21041-21052","California","06","2018","2018","Female","F","Non-Hispanic","2186-5",1672,3360401,49.3,47.0,51.8,1.2,49.8,47.4,52.2,1.2
,"Colon and Rectum","21041-21052","California","06","2018","2018","Male","M","Hispanic","2135-2",427,769855,65.0,58.7,71.8,3.3,55.5,50.3,61.0,2.7
,"Colon and Rectum","21041-21052","California","06","2018","2018","Male","M","Non-Hispanic","2186-5",1763,2826525,68.0,64.8,71.3,1.6,62.4,59.5,65.4,1.5
,"Colon and Rectum","21041-21052","California","06","2019","2019","Female","F","Hispanic","2135-2",369,984101,40.7,36.5,45.1,2.2,37.5,33.8,41.5,2.0
,"Colon and Rectum","21041-21052","California","06","2019","2019","Female","F","Non-Hispanic","2186-5",1699,3418586,49.2,46.9,51.7,1.2,49.7,47.4,52.1,1.2
,"Colon and Rectum","21041-21052","California","06","2019","2019","Male","M","Hispanic","2135-2",424,808910,62.2,56.1,68.7,3.2,52.4,47.5,57.7,2.5
,"Colon and Rectum","21041-21052","California","06","2019","2019","Male","M","Non-Hispanic","2186-5",1716,2881000,64.6,61.6,67.8,1.6,59.6,56.8,62.4,1.4
,"Colon and Rectum","21041-21052","California","06","2020","2020","Female","F","Hispanic","2135-2",350,1004945,39.8,35.6,44.3,2.2,34.8,31.3,38.7,1.9
,"Colon and Rectum","21041-21052","California","06","2020","2020","Female","F","Non-Hispanic","2186-5",1591,3386316,47.7,45.3,50.1,1.2,47.0,44.7,49.3,1.2
,"Colon and Rectum","21041-21052","California","06","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","California","06","2020","2020","Male","M","Hispanic","2135-2",490,852328,70.2,63.7,77.1,3.4,57.5,52.5,62.8,2.6
,"Colon and Rectum","21041-21052","California","06","2020","2020","Male","M","Non-Hispanic","2186-5",1760,2920670,66.8,63.6,70.0,1.6,60.3,57.5,63.1,1.4
,"Colon and Rectum","21041-21052","California","06","2021","2021","Female","F","Hispanic","2135-2",357,1043563,38.4,34.4,42.7,2.1,34.2,30.8,37.9,1.8
,"Colon and Rectum","21041-21052","California","06","2021","2021","Female","F","Non-Hispanic","2186-5",1668,3426143,49.2,46.9,51.7,1.2,48.7,46.4,51.1,1.2
,"Colon and Rectum","21041-21052","California","06","2021","2021","Male","M","Hispanic","2135-2",443,886349,60.4,54.5,66.7,3.1,50.0,45.4,54.9,2.4
,"Colon and Rectum","21041-21052","California","06","2021","2021","Male","M","Non-Hispanic","2186-5",1729,2953728,64.6,61.5,67.7,1.6,58.5,55.8,61.4,1.4
,"Colon and Rectum","21041-21052","California","06","2022","2022","Female","F","Hispanic","2135-2",415,1084488,43.0,38.9,47.4,2.2,38.3,34.7,42.1,1.9
,"Colon and Rectum","21041-21052","California","06","2022","2022","Female","F","Non-Hispanic","2186-5",1647,3462459,47.9,45.6,50.2,1.2,47.6,45.3,49.9,1.2
,"Colon and Rectum","21041-21052","California","06","2022","2022","Male","M","Hispanic","2135-2",468,924915,62.3,56.4,68.6,3.1,50.6,46.1,55.4,2.3
,"Colon and Rectum","21041-21052","California","06","2022","2022","Male","M","Non-Hispanic","2186-5",1781,2984592,65.1,62.0,68.2,1.6,59.7,56.9,62.5,1.4
,"Colon and Rectum","21041-21052","California","06","2023","2023","Female","F","Hispanic","2135-2",382,1129584,38.6,34.7,42.7,2.0,33.8,30.5,37.4,1.7
,"Colon and Rectum","21041-21052","California","06","2023","2023","Female","F","Non-Hispanic","2186-5",1651,3507083,47.0,44.8,49.4,1.2,47.1,44.8,49.4,1.2
,"Colon and Rectum","21041-21052","California","06","2023","2023","Male","M","Hispanic","2135-2",475,968437,59.4,53.9,65.4,2.9,49.0,44.7,53.7,2.3
,"Colon and Rectum","21041-21052","California","06","2023","2023","Male","M","Non-Hispanic","2186-5",1789,3024957,63.8,60.8,66.8,1.5,59.1,56.4,61.9,1.4
,"Colon and Rectum","21041-21052","Colorado","08","2018","2018","Female","F","Hispanic","2135-2",26,67043,46.5,30.1,68.3,9.3,38.8,25.3,56.8,7.6
,"Colon and Rectum","21041-21052","Colorado","08","2018","2018","Female","F","Non-Hispanic","2186-5",230,547385,46.6,40.6,53.1,3.1,42.0,36.8,47.8,2.8
,"Colon and Rectum","21041-21052","Colorado","08","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Colorado","08","2018","2018","Male","M","Hispanic","2135-2",40,57942,74.9,52.6,103.7,12.4,69.0,49.3,94.0,10.9
,"Colon and Rectum","21041-21052","Colorado","08","2018","2018","Male","M","Non-Hispanic","2186-5",218,479492,55.0,47.6,63.1,3.9,45.5,39.6,51.9,3.1
,"Colon and Rectum","21041-21052","Colorado","08","2019","2019","Female","F","Hispanic","2135-2",38,70514,62.1,43.6,85.7,10.3,53.9,38.1,74.0,8.7
,"Colon and Rectum","21041-21052","Colorado","08","2019","2019","Female","F","Non-Hispanic","2186-5",229,565038,44.2,38.6,50.4,3.0,40.5,35.4,46.1,2.7
,"Colon and Rectum","21041-21052","Colorado","08","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Colorado","08","2019","2019","Male","M","Hispanic","2135-2",38,60807,73.3,50.7,102.4,12.6,62.5,44.2,85.8,10.1
,"Colon and Rectum","21041-21052","Colorado","08","2019","2019","Male","M","Non-Hispanic","2186-5",226,495124,53.6,46.6,61.4,3.7,45.6,39.9,52.0,3.0
,"Colon and Rectum","21041-21052","Colorado","08","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Colorado","08","2020","2020","Female","F","Hispanic","2135-2",33,71864,54.0,36.8,76.4,9.6,45.9,31.6,64.5,8.0
,"Colon and Rectum","21041-21052","Colorado","08","2020","2020","Female","F","Non-Hispanic","2186-5",210,564432,41.1,35.7,47.2,2.9,37.2,32.3,42.6,2.6
,"Colon and Rectum","21041-21052","Colorado","08","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Colorado","08","2020","2020","Male","M","Hispanic","2135-2",43,63166,81.2,57.1,111.8,13.4,68.1,49.3,91.7,10.4
,"Colon and Rectum","21041-21052","Colorado","08","2020","2020","Male","M","Non-Hispanic","2186-5",268,504163,67.3,59.1,76.2,4.3,53.2,47.0,59.9,3.2
,"Colon and Rectum","21041-21052","Colorado","08","2021","2021","Female","F","Hispanic","2135-2",44,74792,71.1,51.2,96.0,11.0,58.8,42.7,79.0,8.9
,"Colon and Rectum","21041-21052","Colorado","08","2021","2021","Female","F","Non-Hispanic","2186-5",244,578864,46.5,40.8,52.8,3.0,42.2,37.0,47.8,2.7
,"Colon and Rectum","21041-21052","Colorado","08","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Colorado","08","2021","2021","Male","M","Hispanic","2135-2",39,65678,70.0,48.3,98.1,12.1,59.4,42.2,81.2,9.5
,"Colon and Rectum","21041-21052","Colorado","08","2021","2021","Male","M","Non-Hispanic","2186-5",271,516862,61.7,54.2,69.9,3.9,52.4,46.4,59.1,3.2
