"Notes","Leading Cancer Sites","Leading Cancer Sites Code","States","States Code","Year","Year Code","Sex","Sex Code","Ethnicity","Ethnicity Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Age-Adjusted Rate Standard Error,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Colon and Rectum","21041-21052","Alabama","01","2006","2006","Female","F","Non-Hispanic","2186-5",826,474908,173.8,162.1,186.1,6.1,173.9,162.3,186.2,6.1
,"Colon and Rectum","21041-21052","Alabama","01","2006","2006","Male","M","Non-Hispanic","2186-5",870,358695,253.8,236.8,271.7,8.8,242.5,226.7,259.2,8.2
,"Colon and Rectum","21041-21052","Alabama","01","2007","2007","Female","F","Non-Hispanic","2186-5",840,487236,174.7,163.1,187.0,6.1,172.4,160.9,184.5,5.9
,"Colon and Rectum","21041-21052","Alabama","01","2007","2007","Male","M","Non-Hispanic","2186-5",904,372416,260.1,243.0,278.2,8.9,242.7,227.2,259.1,8.1
,"Colon and Rectum","21041-21052","Alabama","01","2008","2008","Female","F","Non-Hispanic","2186-5",900,499590,181.1,169.4,193.4,6.1,180.1,168.6,192.3,6.0
,"Colon and Rectum","21041-21052","Alabama","01","2008","2008","Male","M","Non-Hispanic","2186-5",931,385032,259.2,242.3,277.0,8.8,241.8,226.5,257.8,7.9
,"Colon and Rectum","21041-21052","Alabama","01","2009","2009","Female","F","Non-Hispanic","2186-5",825,510505,164.5,153.4,176.2,5.8,161.6,150.8,173.0,5.6
,"Colon and Rectum","21041-21052","Alabama","01","2009","2009","Male","M","Non-Hispanic","2186-5",878,397063,238.5,222.5,255.4,8.3,221.1,206.7,236.2,7.5
,"Colon and Rectum","21041-21052","Alabama","01","2010","2010","Female","F","Non-Hispanic","2186-5",790,522112,155.5,144.8,166.8,5.6,151.3,140.9,162.2,5.4
,"Colon and Rectum","21041-21052","Alabama","01","2010","2010","Male","M","Non-Hispanic","2186-5",820,409044,217.0,201.9,232.9,7.8,200.5,187.0,214.7,7.0
,"Colon and Rectum","21041-21052","Alabama","01","2011","2011","Female","F","Non-Hispanic","2186-5",715,532389,137.0,127.1,147.6,5.2,134.3,124.6,144.5,5.0
,"Colon and Rectum","21041-21052","Alabama","01","2011","2011","Male","M","Non-Hispanic","2186-5",866,420279,224.3,209.1,240.4,7.9,206.1,192.6,220.2,7.0
,"Colon and Rectum","21041-21052","Alabama","01","2012","2012","Female","F","Non-Hispanic","2186-5",796,543326,150.8,140.4,161.7,5.4,146.5,136.5,157.0,5.2
,"Colon and Rectum","21041-21052","Alabama","01","2012","2012","Male","M","Non-Hispanic","2186-5",837,432000,210.6,196.0,225.9,7.5,193.8,180.8,207.3,6.7
,"Colon and Rectum","21041-21052","Alabama","01","2013","2013","Female","F","Non-Hispanic","2186-5",809,554207,151.0,140.7,161.8,5.4,146.0,136.1,156.4,5.1
,"Colon and Rectum","21041-21052","Alabama","01","2013","2013","Male","M","Non-Hispanic","2186-5",932,443270,225.6,210.8,241.2,7.7,210.3,197.0,224.2,6.9
,"Colon and Rectum","21041-21052","Alabama","01","2014","2014","Female","F","Non-Hispanic","2186-5",821,567267,149.0,138.9,159.6,5.2,144.7,135.0,155.0,5.1
,"Colon and Rectum","21041-21052","Alabama","01","2014","2014","Male","M","Non-Hispanic","2186-5",868,455810,207.8,193.7,222.6,7.3,190.4,178.0,203.5,6.5
,"Colon and Rectum","21041-21052","Alabama","01","2015","2015","Female","F","Non-Hispanic","2186-5",827,580130,147.2,137.2,157.6,5.2,142.6,133.0,152.6,5.0
,"Colon and Rectum","21041-21052","Alabama","01","2015","2015","Male","M","Non-Hispanic","2186-5",856,468297,193.4,180.2,207.4,6.9,182.8,170.7,195.5,6.2
,"Colon and Rectum","21041-21052","Alabama","01","2016","2016","Female","F","Non-Hispanic","2186-5",834,593584,146.6,136.7,157.0,5.1,140.5,131.1,150.4,4.9
,"Colon and Rectum","21041-21052","Alabama","01","2016","2016","Male","M","Non-Hispanic","2186-5",841,481433,187.5,174.5,201.1,6.7,174.7,163.1,186.9,6.0
,"Colon and Rectum","21041-21052","Alabama","01","2017","2017","Female","F","Non-Hispanic","2186-5",764,606875,130.5,121.3,140.2,4.8,125.9,117.1,135.1,4.6
,"Colon and Rectum","21041-21052","Alabama","01","2017","2017","Male","M","Non-Hispanic","2186-5",927,494436,199.9,186.8,213.8,6.8,187.5,175.6,200.0,6.2
,"Colon and Rectum","21041-21052","Alabama","01","2018","2018","Female","F","Non-Hispanic","2186-5",804,619777,134.5,125.3,144.2,4.8,129.7,120.9,139.0,4.6
,"Colon and Rectum","21041-21052","Alabama","01","2018","2018","Male","M","Non-Hispanic","2186-5",866,506294,182.4,170.0,195.5,6.4,171.0,159.8,182.8,5.8
,"Colon and Rectum","21041-21052","Alabama","01","2019","2019","Female","F","Non-Hispanic","2186-5",855,633341,139.4,130.2,149.2,4.8,135.0,126.1,144.4,4.6
,"Colon and Rectum","21041-21052","Alabama","01","2019","2019","Male","M","Non-Hispanic","2186-5",915,518362,189.2,176.7,202.4,6.5,176.5,165.3,188.3,5.8
,"Colon and Rectum","21041-21052","Alabama","01","2020","2020","Female","F","Non-Hispanic","2186-5",773,646662,123.1,114.5,132.1,4.5,119.5,111.3,128.3,4.3
,"Colon and Rectum","21041-21052","Alabama","01","2020","2020","Male","M","Non-Hispanic","2186-5",787,530513,159.0,147.7,171.0,5.9,148.3,138.2,159.1,5.3
,"Colon and Rectum","21041-21052","Alabama","01","2021","2021","Female","F","Non-Hispanic","2186-5",830,656834,129.3,120.6,138.5,4.5,126.4,117.9,135.3,4.4
,"Colon and Rectum","21041-21052","Alabama","01","2021","2021","Male","M","Non-Hispanic","2186-5",872,538044,172.3,160.6,184.6,6.1,162.1,151.5,173.2,5.5
,"Colon and Rectum","21041-21052","Alabama","01","2022","2022","Female","F","Non-Hispanic","2186-5",815,668782,125.3,116.8,134.3,4.4,121.9,113.6,130.5,4.3
,"Colon and Rectum","21041-21052","Alabama","01","2022","2022","Male","M","Non-Hispanic","2186-5",889,548036,170.0,158.7,182.0,5.9,162.2,151.7,173.2,5.4
,"Colon and Rectum","21041-21052","Alaska","02","1999","1999","Female","F","Non-Hispanic","2186-5",61,25727,254.0,192.9,328.4,33.4,237.1,181.4,304.6,30.4
,"Colon and Rectum","21041-21052","Alaska","02","1999","1999","Male","M","Non-Hispanic","2186-5",81,24722,372.1,289.2,472.0,45.0,327.6,260.2,407.2,36.4
,"Colon and Rectum","21041-21052","Alaska","02","2000","2000","Female","F","Non-Hispanic","2186-5",80,26808,331.7,262.1,414.1,37.6,298.4,236.6,371.4,33.4
,"Colon and Rectum","21041-21052","Alaska","02","2000","2000","Male","M","Non-Hispanic","2186-5",73,25764,334.8,257.2,428.7,42.2,283.3,222.1,356.3,33.2
,"Colon and Rectum","21041-21052","Alaska","02","2001","2001","Female","F","Non-Hispanic","2186-5",75,27944,279.8,219.0,352.2,32.9,268.4,211.1,336.4,31.0
,"Colon and Rectum","21041-21052","Alaska","02","2001","2001","Male","M","Non-Hispanic","2186-5",83,27091,365.1,285.3,460.5,43.2,306.4,244.0,379.8,33.6
,"Colon and Rectum","21041-21052","Alaska","02","2002","2002","Female","F","Non-Hispanic","2186-5",67,29355,254.8,196.7,324.5,31.5,228.2,176.9,289.9,27.9
,"Colon and Rectum","21041-21052","Alaska","02","2002","2002","Male","M","Non-Hispanic","2186-5",70,28573,277.9,212.2,358.2,35.8,245.0,191.0,309.5,29.3
,"Colon and Rectum","21041-21052","Alaska","02","2003","2003","Female","F","Non-Hispanic","2186-5",58,30984,199.4,150.6,259.1,26.7,187.2,142.1,242.0,24.6
,"Colon and Rectum","21041-21052","Alaska","02","2003","2003","Male","M","Non-Hispanic","2186-5",90,30265,350.4,274.2,441.2,41.3,297.4,239.1,365.5,31.3
,"Colon and Rectum","21041-21052","Alaska","02","2004","2004","Female","F","Non-Hispanic","2186-5",65,32675,216.1,165.8,276.9,27.4,198.9,153.5,253.6,24.7
,"Colon and Rectum","21041-21052","Alaska","02","2004","2004","Male","M","Non-Hispanic","2186-5",87,32097,320.3,250.9,403.1,37.6,271.1,217.1,334.3,29.1
,"Colon and Rectum","21041-21052","Alaska","02","2005","2005","Female","F","Non-Hispanic","2186-5",72,34295,241.0,187.8,304.4,28.9,209.9,164.3,264.4,24.7
,"Colon and Rectum","21041-21052","Alaska","02","2005","2005","Male","M","Non-Hispanic","2186-5",89,33733,309.8,243.5,388.8,35.9,263.8,211.9,324.7,28.0
,"Colon and Rectum","21041-21052","Alaska","02","2006","2006","Female","F","Non-Hispanic","2186-5",78,35489,238.6,187.4,299.4,27.7,219.8,173.7,274.3,24.9
,"Colon and Rectum","21041-21052","Alaska","02","2006","2006","Male","M","Non-Hispanic","2186-5",86,35251,290.1,227.3,365.0,34.0,244.0,195.1,301.3,26.3
,"Colon and Rectum","21041-21052","Alaska","02","2007","2007","Female","F","Non-Hispanic","2186-5",63,37654,188.7,143.8,243.0,24.5,167.3,128.6,214.1,21.1
,"Colon and Rectum","21041-21052","Alaska","02","2007","2007","Male","M","Non-Hispanic","2186-5",57,37836,190.1,139.4,253.1,27.9,150.7,114.1,195.2,20.0
,"Colon and Rectum","21041-21052","Alaska","02","2008","2008","Female","F","Non-Hispanic","2186-5",67,39570,198.4,152.5,253.5,25.0,169.3,131.2,215.0,20.7
,"Colon and Rectum","21041-21052","Alaska","02","2008","2008","Male","M","Non-Hispanic","2186-5",78,40299,225.4,173.5,288.1,28.2,193.6,153.0,241.6,21.9
,"Colon and Rectum","21041-21052","Alaska","02","2009","2009","Female","F","Non-Hispanic","2186-5",65,42069,176.2,134.5,226.6,22.7,154.5,119.2,196.9,19.2
,"Colon and Rectum","21041-21052","Alaska","02","2009","2009","Male","M","Non-Hispanic","2186-5",98,43047,288.9,227.9,361.0,33.0,227.7,184.8,277.4,23.0
,"Colon and Rectum","21041-21052","Alaska","02","2010","2010","Female","F","Non-Hispanic","2186-5",89,44237,220.9,175.3,274.9,24.7,201.2,161.6,247.6,21.3
,"Colon and Rectum","21041-21052","Alaska","02","2010","2010","Male","M","Non-Hispanic","2186-5",89,45621,244.0,189.8,308.7,29.4,195.1,156.7,240.1,20.7
,"Colon and Rectum","21041-21052","Alaska","02","2011","2011","Female","F","Non-Hispanic","2186-5",60,46490,142.7,107.5,185.7,19.2,129.1,98.5,166.1,16.7
,"Colon and Rectum","21041-21052","Alaska","02","2011","2011","Male","M","Non-Hispanic","2186-5",88,48230,213.8,166.3,270.8,25.8,182.5,146.3,224.8,19.5
,"Colon and Rectum","21041-21052","Alaska","02","2012","2012","Female","F","Non-Hispanic","2186-5",67,48977,160.4,122.6,206.1,20.6,136.8,106.0,173.7,16.7
,"Colon and Rectum","21041-21052","Alaska","02","2012","2012","Male","M","Non-Hispanic","2186-5",80,50834,203.3,156.4,259.6,25.5,157.4,124.8,195.9,17.6
,"Colon and Rectum","21041-21052","Alaska","02","2013","2013","Female","F","Non-Hispanic","2186-5",83,51183,185.3,145.3,232.7,21.6,162.2,129.2,201.0,17.8
,"Colon and Rectum","21041-21052","Alaska","02","2013","2013","Male","M","Non-Hispanic","2186-5",86,53346,199.5,154.9,252.8,24.2,161.2,128.9,199.1,17.4
,"Colon and Rectum","21041-21052","Alaska","02","2014","2014","Female","F","Non-Hispanic","2186-5",85,53399,183.0,144.1,229.2,21.1,159.2,127.1,196.8,17.3
,"Colon and Rectum","21041-21052","Alaska","02","2014","2014","Male","M","Non-Hispanic","2186-5",93,55583,229.4,180.4,287.4,26.6,167.3,135.0,205.0,17.4
,"Colon and Rectum","21041-21052","Alaska","02","2015","2015","Female","F","Non-Hispanic","2186-5",84,55937,167.4,131.3,210.4,19.6,150.2,119.8,185.9,16.4
,"Colon and Rectum","21041-21052","Alaska","02","2015","2015","Male","M","Non-Hispanic","2186-5",101,58028,191.1,150.9,238.9,21.7,174.1,141.8,211.5,17.3
,"Colon and Rectum","21041-21052","Alaska","02","2016","2016","Female","F","Non-Hispanic","2186-5",80,58300,160.5,125.3,202.3,19.1,137.2,108.8,170.8,15.3
,"Colon and Rectum","21041-21052","Alaska","02","2016","2016","Male","M","Non-Hispanic","2186-5",82,60285,149.8,115.6,191.2,18.6,136.0,108.2,168.8,15.0
,"Colon and Rectum","21041-21052","Alaska","02","2017","2017","Female","F","Non-Hispanic","2186-5",78,60805,142.8,111.3,180.5,17.1,128.3,101.4,160.1,14.5
,"Colon and Rectum","21041-21052","Alaska","02","2017","2017","Male","M","Non-Hispanic","2186-5",107,62492,192.5,154.3,237.7,20.6,171.2,140.3,206.9,16.6
,"Colon and Rectum","21041-21052","Alaska","02","2018","2018","Female","F","Non-Hispanic","2186-5",85,62906,152.6,120.1,191.2,17.6,135.1,107.9,167.1,14.7
,"Colon and Rectum","21041-21052","Alaska","02","2018","2018","Male","M","Non-Hispanic","2186-5",109,64537,191.7,152.4,238.2,21.2,168.9,138.7,203.7,16.2
,"Colon and Rectum","21041-21052","Alaska","02","2019","2019","Female","F","Non-Hispanic","2186-5",83,64801,148.3,116.7,185.8,17.1,128.1,102.0,158.8,14.1
,"Colon and Rectum","21041-21052","Alaska","02","2019","2019","Male","M","Non-Hispanic","2186-5",108,66410,197.4,157.8,243.8,21.3,162.6,133.4,196.3,15.6
,"Colon and Rectum","21041-21052","Alaska","02","2020","2020","Female","F","Non-Hispanic","2186-5",88,66566,150.5,119.1,187.5,16.9,132.2,106.0,162.9,14.1
,"Colon and Rectum","21041-21052","Alaska","02","2020","2020","Male","M","Non-Hispanic","2186-5",106,68486,181.3,144.8,224.1,19.6,154.8,126.7,187.2,15.0
,"Colon and Rectum","21041-21052","Alaska","02","2021","2021","Female","F","Non-Hispanic","2186-5",85,68574,139.2,109.9,173.9,15.8,124.0,99.0,153.3,13.4
,"Colon and Rectum","21041-21052","Alaska","02","2021","2021","Male","M","Non-Hispanic","2186-5",89,70549,154.9,120.8,195.5,18.5,126.2,101.3,155.2,13.4
,"Colon and Rectum","21041-21052","Alaska","02","2022","2022","Female","F","Non-Hispanic","2186-5",81,70179,129.7,102.0,162.7,15.0,115.4,91.7,143.5,12.8
,"Colon and Rectum","21041-21052","Alaska","02","2022","2022","Male","M","Non-Hispanic","2186-5",110,71734,177.3,142.2,218.5,18.9,153.3,126.0,184.8,14.6
,"Colon and Rectum","21041-21052","Arizona","04","1999","1999","Female","F","Hispanic","2135-2",74,42961,183.0,142.7,231.0,21.8,172.2,135.3,216.2,20.0
,"Colon and Rectum","21041-21052","Arizona","04","1999","1999","Female","F","Non-Hispanic","2186-5",828,428444,189.6,176.9,203.0,6.6,193.3,180.3,206.9,6.7
,"Colon and Rectum","21041-21052","Arizona","04","1999","1999","Male","M","Hispanic","2135-2",67,34550,230.3,175.2,297.1,30.0,193.9,150.3,246.3,23.7
,"Colon and Rectum","21041-21052","Arizona","04","1999","1999","Male","M","Non-Hispanic","2186-5",930,352494,273.0,255.4,291.4,9.1,263.8,247.1,281.4,8.7
,"Colon and Rectum","21041-21052","Arizona","04","2000","2000","Female","F","Hispanic","2135-2",83,44887,203.9,161.5,253.9,22.9,184.9,147.3,229.2,20.3
,"Colon and Rectum","21041-21052","Arizona","04","2000","2000","Female","F","Non-Hispanic","2186-5",843,435975,189.3,176.7,202.5,6.5,193.4,180.5,206.9,6.7
,"Colon and Rectum","21041-21052","Arizona","04","2000","2000","Male","M","Hispanic","2135-2",86,36240,286.8,225.1,359.9,33.4,237.3,189.8,293.1,25.6
,"Colon and Rectum","21041-21052","Arizona","04","2000","2000","Male","M","Non-Hispanic","2186-5",1026,359657,297.7,279.5,316.9,9.5,285.3,268.1,303.3,8.9
,"Colon and Rectum","21041-21052","Arizona","04","2001","2001","Female","F","Hispanic","2135-2",62,46906,136.3,104.0,175.5,17.6,132.2,101.3,169.4,16.8
,"Colon and Rectum","21041-21052","Arizona","04","2001","2001","Female","F","Non-Hispanic","2186-5",878,443847,193.5,180.9,206.8,6.5,197.8,184.9,211.3,6.7
,"Colon and Rectum","21041-21052","Arizona","04","2001","2001","Male","M","Hispanic","2135-2",88,37830,266.2,210.3,332.5,30.2,232.6,186.6,286.6,24.8
,"Colon and Rectum","21041-21052","Arizona","04","2001","2001","Male","M","Non-Hispanic","2186-5",953,367632,266.6,249.7,284.3,8.8,259.2,243.0,276.2,8.4
,"Colon and Rectum","21041-21052","Arizona","04","2002","2002","Female","F","Hispanic","2135-2",68,49478,150.4,116.1,191.6,18.6,137.4,106.7,174.2,16.7
,"Colon and Rectum","21041-21052","Arizona","04","2002","2002","Female","F","Non-Hispanic","2186-5",876,453646,189.7,177.3,202.7,6.4,193.1,180.5,206.3,6.5
,"Colon and Rectum","21041-21052","Arizona","04","2002","2002","Male","M","Hispanic","2135-2",74,39756,209.1,161.0,267.0,26.1,186.1,146.2,233.7,21.6
,"Colon and Rectum","21041-21052","Arizona","04","2002","2002","Male","M","Non-Hispanic","2186-5",894,376905,248.1,231.8,265.1,8.4,237.2,221.9,253.3,7.9
,"Colon and Rectum","21041-21052","Arizona","04","2003","2003","Female","F","Hispanic","2135-2",72,52136,154.6,120.2,195.6,18.6,138.1,108.1,173.9,16.3
,"Colon and Rectum","21041-21052","Arizona","04","2003","2003","Female","F","Non-Hispanic","2186-5",852,466486,180.7,168.8,193.3,6.2,182.6,170.6,195.3,6.3
,"Colon and Rectum","21041-21052","Arizona","04","2003","2003","Male","M","Hispanic","2135-2",97,41909,252.5,202.1,311.8,27.1,231.5,187.7,282.4,23.5
,"Colon and Rectum","21041-21052","Arizona","04","2003","2003","Male","M","Non-Hispanic","2186-5",957,389548,254.8,238.7,271.7,8.3,245.7,230.3,261.7,7.9
,"Colon and Rectum","21041-21052","Arizona","04","2004","2004","Female","F","Hispanic","2135-2",72,55390,141.2,109.7,178.8,17.1,130.0,101.7,163.7,15.3
,"Colon and Rectum","21041-21052","Arizona","04","2004","2004","Female","F","Non-Hispanic","2186-5",818,480544,169.3,157.9,181.3,5.9,170.2,158.8,182.3,6.0
,"Colon and Rectum","21041-21052","Arizona","04","2004","2004","Male","M","Hispanic","2135-2",95,44373,232.9,186.3,287.8,25.1,214.1,173.2,261.7,22.0
,"Colon and Rectum","21041-21052","Arizona","04","2004","2004","Male","M","Non-Hispanic","2186-5",897,403302,235.3,219.9,251.4,8.0,222.4,208.1,237.5,7.4
,"Colon and Rectum","21041-21052","Arizona","04","2005","2005","Female","F","Hispanic","2135-2",93,59173,174.7,140.4,214.7,18.4,157.2,126.9,192.5,16.3
,"Colon and Rectum","21041-21052","Arizona","04","2005","2005","Female","F","Non-Hispanic","2186-5",851,497767,170.9,159.6,182.8,5.9,171.0,159.7,182.8,5.9
,"Colon and Rectum","21041-21052","Arizona","04","2005","2005","Male","M","Hispanic","2135-2",95,47656,214.7,171.3,265.9,23.4,199.3,161.3,243.7,20.5
,"Colon and Rectum","21041-21052","Arizona","04","2005","2005","Male","M","Non-Hispanic","2186-5",923,420219,228.9,214.2,244.4,7.6,219.6,205.7,234.3,7.2
,"Colon and Rectum","21041-21052","Arizona","04","2006","2006","Female","F","Hispanic","2135-2",88,63390,150.4,120.2,185.8,16.3,138.8,111.3,171.0,14.8
,"Colon and Rectum","21041-21052","Arizona","04","2006","2006","Female","F","Non-Hispanic","2186-5",808,512667,157.7,147.0,169.0,5.6,157.6,146.9,168.9,5.5
,"Colon and Rectum","21041-21052","Arizona","04","2006","2006","Male","M","Hispanic","2135-2",101,51170,224.9,181.1,276.1,23.6,197.4,160.8,239.8,19.6
,"Colon and Rectum","21041-21052","Arizona","04","2006","2006","Male","M","Non-Hispanic","2186-5",809,435309,196.8,183.3,211.0,7.0,185.8,173.3,199.1,6.5
,"Colon and Rectum","21041-21052","Arizona","04","2007","2007","Female","F","Hispanic","2135-2",99,67656,160.4,129.8,196.1,16.5,146.3,118.9,178.1,14.7
,"Colon and Rectum","21041-21052","Arizona","04","2007","2007","Female","F","Non-Hispanic","2186-5",780,531350,148.2,137.9,159.0,5.3,146.8,136.7,157.5,5.3
,"Colon and Rectum","21041-21052","Arizona","04","2007","2007","Male","M","Hispanic","2135-2",99,54773,209.0,167.3,257.8,22.5,180.7,146.9,220.1,18.2
,"Colon and Rectum","21041-21052","Arizona","04","2007","2007","Male","M","Non-Hispanic","2186-5",904,453023,209.3,195.7,223.6,7.0,199.5,186.8,213.0,6.6
,"Colon and Rectum","21041-21052","Arizona","04","2008","2008","Female","F","Hispanic","2135-2",79,72077,124.8,98.3,156.1,14.3,109.6,86.8,136.6,12.3
,"Colon and Rectum","21041-21052","Arizona","04","2008","2008","Female","F","Non-Hispanic","2186-5",783,550411,145.9,135.8,156.5,5.2,142.3,132.5,152.6,5.1
,"Colon and Rectum","21041-21052","Arizona","04","2008","2008","Male","M","Hispanic","2135-2",90,58477,173.6,138.0,215.7,19.2,153.9,123.8,189.2,16.2
,"Colon and Rectum","21041-21052","Arizona","04","2008","2008","Male","M","Non-Hispanic","2186-5",901,471613,203.2,190.0,217.1,6.9,191.0,178.8,203.9,6.4
,"Colon and Rectum","21041-21052","Arizona","04","2009","2009","Female","F","Hispanic","2135-2",98,76398,140.5,113.5,172.0,14.5,128.3,104.1,156.3,13.0
,"Colon and Rectum","21041-21052","Arizona","04","2009","2009","Female","F","Non-Hispanic","2186-5",842,568590,150.7,140.6,161.3,5.2,148.1,138.3,158.4,5.1
,"Colon and Rectum","21041-21052","Arizona","04","2009","2009","Male","M","Hispanic","2135-2",118,62426,208.4,170.6,252.2,20.3,189.0,156.5,226.4,17.4
,"Colon and Rectum","21041-21052","Arizona","04","2009","2009","Male","M","Non-Hispanic","2186-5",856,488436,185.5,173.2,198.6,6.4,175.3,163.7,187.4,6.0
,"Colon and Rectum","21041-21052","Arizona","04","2010","2010","Female","F","Hispanic","2135-2",98,81097,128.3,103.5,157.2,13.3,120.8,98.1,147.3,12.2
,"Colon and Rectum","21041-21052","Arizona","04","2010","2010","Female","F","Non-Hispanic","2186-5",810,587643,140.7,131.1,150.8,5.0,137.8,128.5,147.7,4.8
,"Colon and Rectum","21041-21052","Arizona","04","2010","2010","Male","M","Hispanic","2135-2",110,66625,186.5,151.4,227.3,18.9,165.1,135.7,199.0,15.7
,"Colon and Rectum","21041-21052","Arizona","04","2010","2010","Male","M","Non-Hispanic","2186-5",857,506675,180.0,168.0,192.7,6.2,169.1,158.0,180.9,5.8
,"Colon and Rectum","21041-21052","Arizona","04","2011","2011","Female","F","Hispanic","2135-2",111,85143,144.7,118.4,175.0,14.1,130.4,107.2,157.0,12.4
,"Colon and Rectum","21041-21052","Arizona","04","2011","2011","Female","F","Non-Hispanic","2186-5",773,604589,131.9,122.7,141.7,4.8,127.9,119.0,137.2,4.6
,"Colon and Rectum","21041-21052","Arizona","04","2011","2011","Male","M","Hispanic","2135-2",123,70396,206.2,169.3,248.7,19.7,174.7,145.2,208.5,15.8
,"Colon and Rectum","21041-21052","Arizona","04","2011","2011","Male","M","Non-Hispanic","2186-5",841,522813,172.0,160.4,184.1,6.0,160.9,150.2,172.1,5.5
,"Colon and Rectum","21041-21052","Arizona","04","2012","2012","Female","F","Hispanic","2135-2",90,89064,113.4,90.7,140.1,12.3,101.1,81.3,124.2,10.7
,"Colon and Rectum","21041-21052","Arizona","04","2012","2012","Female","F","Non-Hispanic","2186-5",793,621736,131.9,122.8,141.5,4.7,127.5,118.8,136.7,4.5
,"Colon and Rectum","21041-21052","Arizona","04","2012","2012","Male","M","Hispanic","2135-2",127,73936,182.9,150.8,220.0,17.2,171.8,143.2,204.4,15.2
,"Colon and Rectum","21041-21052","Arizona","04","2012","2012","Male","M","Non-Hispanic","2186-5",888,539669,174.6,163.2,186.6,5.9,164.5,153.9,175.7,5.5
,"Colon and Rectum","21041-21052","Arizona","04","2013","2013","Female","F","Hispanic","2135-2",100,93342,117.4,94.9,143.6,12.1,107.1,87.2,130.3,10.7
,"Colon and Rectum","21041-21052","Arizona","04","2013","2013","Female","F","Non-Hispanic","2186-5",765,638912,124.2,115.5,133.4,4.5,119.7,111.4,128.5,4.3
,"Colon and Rectum","21041-21052","Arizona","04","2013","2013","Male","M","Hispanic","2135-2",172,77639,264.0,223.7,309.2,21.4,221.5,189.7,257.2,16.9
,"Colon and Rectum","21041-21052","Arizona","04","2013","2013","Male","M","Non-Hispanic","2186-5",852,556668,161.4,150.6,172.8,5.6,153.1,142.9,163.7,5.2
